1565334000000,33,38,34,2,12
1565247600000,26,39,21,32,27
1565161200000,5,35,8,19,13
1565074800000,5,21,11,17,25
1564988400000,30,2,24,16,23
1564902000000,16,8,17,14,21
1564815600000,27,2,34,8,5
1564729200000,28,35,26,34,24
1564642800000,28,22,2,15,21
1564556400000,30,13,18,8,20
1564470000000,29,38,5,32,6
1564383600000,35,19,22,1,31
1564297200000,7,29,38,21,24
1564210800000,1,21,30,6,14
1564124400000,16,25,5,22,3
1564038000000,17,19,2,23,5
1563951600000,20,14,25,26,15
1563865200000,29,12,6,33,4
1563778800000,1,12,26,21,11
1563692400000,36,39,26,38,14
1563606000000,30,2,3,36,25
1563519600000,36,8,14,6,34
1563433200000,19,10,39,23,24
1563346800000,20,39,8,1,35
1563260400000,10,36,13,24,25
1563174000000,37,21,24,16,13
1563087600000,18,13,30,23,37
1563001200000,18,22,23,8,25
1562914800000,13,18,37,22,19
1562828400000,31,39,30,15,8
1562742000000,33,27,3,22,2
1562655600000,6,17,29,9,22
1562569200000,19,13,4,22,17
1562482800000,24,37,13,30,32
1562396400000,3,28,32,36,22
1562310000000,21,12,39,11,29
1562223600000,4,26,10,3,27
1562137200000,34,12,26,36,5
1562050800000,37,7,15,6,17
1561964400000,16,33,30,13,4
1561878000000,6,9,20,30,26
1561791600000,24,20,11,2,21
1561705200000,14,32,23,6,15
1561618800000,3,14,32,36,13
1561532400000,29,30,35,37,17
1561446000000,11,22,16,34,7
1561359600000,22,39,28,11,10
1561273200000,39,24,22,1,26
1561186800000,28,23,39,34,4
1561100400000,24,34,26,21,28
1561014000000,12,14,6,22,30
1560927600000,32,7,19,10,25
1560841200000,14,24,35,37,38
1560754800000,37,23,33,30,36
1560668400000,29,17,26,12,18
1560582000000,27,26,25,20,4
1560495600000,37,15,33,36,10
1560409200000,37,13,27,21,17
1560322800000,5,13,16,15,39
1560236400000,35,31,22,10,25
1560150000000,3,7,15,23,5
1560063600000,24,16,10,30,35
1559977200000,30,34,21,28,39
1559890800000,3,21,4,7,30
1559804400000,1,16,8,18,11
1559718000000,36,21,20,33,13
1559631600000,14,15,38,20,13
1559545200000,21,29,13,27,26
1559458800000,38,27,22,16,34
1559372400000,7,30,9,18,19
1559286000000,13,10,38,2,26
1559199600000,18,1,21,17,5
1559113200000,24,1,9,37,17
1559026800000,39,38,11,32,1
1558940400000,18,1,38,12,30
1558854000000,18,4,5,33,13
1558767600000,18,16,7,34,1
1558681200000,26,3,19,11,1
1558594800000,19,7,15,23,1
1558508400000,3,7,36,8,4
1558422000000,27,28,36,11,10
1558335600000,11,32,12,4,2
1558249200000,4,28,33,34,15
1558162800000,39,11,9,25,18
1558076400000,10,39,13,27,12
1557990000000,35,16,25,37,17
1557903600000,22,14,19,39,18
1557817200000,35,37,13,39,31
1557730800000,6,14,35,21,20
1557644400000,9,18,22,4,30
1557558000000,15,26,36,33,31
1557471600000,20,1,14,5,8
1557385200000,12,23,15,10,14
1557298800000,18,19,2,32,29
1557212400000,37,34,29,15,33
1557126000000,36,29,37,21,35
1557039600000,6,1,39,27,36
1556953200000,30,21,7,4,3
1556866800000,25,6,32,27,7
1556780400000,23,37,5,11,33
1556694000000,35,34,32,36,15
1556607600000,37,30,22,21,13
1556521200000,33,8,24,18,30
1556434800000,15,29,26,20,21
1556348400000,22,7,23,20,3
1556262000000,27,33,30,2,16
1556175600000,18,39,2,1,16
1556089200000,19,9,22,27,12
1556002800000,15,1,28,32,34
1555916400000,27,22,9,35,2
1555830000000,26,11,29,15,13
1555743600000,24,8,26,22,18
1555657200000,23,9,38,8,2
1555570800000,26,21,1,13,29
1555484400000,27,6,7,2,32
1555398000000,24,31,23,18,34
1555311600000,22,12,29,38,14
1555225200000,28,37,20,22,34
1555138800000,24,2,9,31,39
1555052400000,26,17,15,5,6
1554966000000,38,33,35,6,17
1554879600000,3,12,37,26,31
1554793200000,32,38,33,9,30
1554706800000,39,2,6,27,3
1554620400000,5,36,9,39,13
1554534000000,18,39,20,30,28
1554447600000,8,26,28,10,29
1554361200000,1,2,38,28,37
1554274800000,4,28,12,26,27
1554188400000,9,5,1,16,6
1554102000000,7,13,9,31,39
1554015600000,24,16,34,1,9
1553929200000,30,9,17,19,3
1553842800000,17,9,10,26,1
1553756400000,9,31,2,33,12
1553670000000,39,28,21,32,8
1553583600000,27,30,28,33,11
1553497200000,38,30,24,26,13
1553410800000,20,9,23,2,27
1553324400000,14,8,24,36,10
1553238000000,39,23,36,30,7
1553151600000,8,20,22,35,28
1553065200000,2,4,9,17,16
1552978800000,15,18,20,9,11
1552892400000,6,3,11,38,2
1552806000000,18,17,3,9,1
1552719600000,20,31,22,19,21
1552633200000,16,8,29,30,3
1552546800000,6,11,23,33,4
1552460400000,27,28,16,32,36
1552374000000,1,8,11,19,39
1552287600000,16,30,15,6,14
1552204800000,17,5,3,25,11
1552118400000,38,6,18,1,39
1552032000000,7,36,2,38,26
1551945600000,29,36,11,32,28
1551859200000,16,18,10,11,30
1551772800000,1,21,19,26,5
1551686400000,27,7,35,14,21
1551600000000,32,2,34,18,26
1551513600000,36,11,14,39,1
1551427200000,27,8,4,22,9
1551340800000,5,32,4,2,26
1551254400000,10,32,26,12,30
1551168000000,34,15,5,13,29
1551081600000,33,21,19,22,29
1550995200000,18,28,29,17,31
1550908800000,14,32,20,6,19
1550822400000,38,2,36,25,14
1550736000000,38,37,17,28,31
1550649600000,24,3,36,27,7
1550563200000,3,1,15,9,14
1550476800000,32,2,17,27,11
1550390400000,7,38,29,14,6
1550304000000,19,9,20,14,10
1550217600000,3,13,27,37,1
1550131200000,20,28,29,27,34
1550044800000,11,23,10,4,16
1549958400000,37,3,27,11,5
1549872000000,3,14,11,15,16
1549785600000,17,24,14,28,2
1549699200000,14,18,9,37,7
1549612800000,3,23,6,33,11
1549526400000,17,12,39,29,30
1549440000000,32,39,26,20,8
1549353600000,38,10,5,14,34
1549267200000,4,17,27,20,6
1549180800000,34,31,15,16,33
1549094400000,3,33,10,6,4
1549008000000,27,1,22,9,37
1548921600000,33,1,25,7,15
1548835200000,25,26,3,17,18
